,dropout,learning.rate,L1.regularization,training.steps,accuracy,execution.time,Pred.Quality
0,0.01,0.0002,0.01,100,0.4666666686534882,7.2757346630096436,0
1,0.01,0.0002,0.01,500,0.4666666686534882,10.801194190979004,0
2,0.01,0.0002,0.01,2500,0.2666666805744171,21.34240698814392,0
3,0.01,0.0002,0.1,100,0.4666666686534882,6.794187784194946,0
4,0.01,0.0002,0.1,500,0.4666666686534882,9.2191264629364,0
5,0.01,0.0002,0.1,2500,0.2666666805744171,21.20000720024109,0
6,0.01,0.0002,1.0,100,0.4666666686534882,6.820384502410889,0
7,0.01,0.0002,1.0,500,0.2666666805744171,9.564777374267578,0
8,0.01,0.0002,1.0,2500,0.2666666805744171,22.285081148147587,0
9,0.01,0.0002,10.0,100,0.2666666805744171,7.04999589920044,0
10,0.01,0.0002,10.0,500,0.2666666805744171,8.504356622695923,0
11,0.01,0.0002,10.0,2500,0.2666666805744171,19.190622329711914,0
12,0.01,0.0008,0.01,100,0.4666666686534882,6.628746271133423,0
13,0.01,0.0008,0.01,500,0.4666666686534882,8.851837158203125,0
14,0.01,0.0008,0.01,2500,0.4666666686534882,18.663957595825195,0
15,0.01,0.0008,0.1,100,0.4666666686534882,6.83159327507019,0
16,0.01,0.0008,0.1,500,0.2666666805744171,8.634133815765379,0
17,0.01,0.0008,0.1,2500,0.2666666805744171,19.39724898338318,0
18,0.01,0.0008,1.0,100,0.4666666686534882,6.478776216506957,0
19,0.01,0.0008,1.0,500,0.2666666805744171,8.892713069915771,0
20,0.01,0.0008,1.0,2500,0.2666666805744171,18.544566869735718,0
21,0.01,0.0008,10.0,100,0.2666666805744171,6.907022953033447,0
22,0.01,0.0008,10.0,500,0.2666666805744171,8.634886980056763,0
23,0.01,0.0008,10.0,2500,0.2666666805744171,19.49355340003968,0
24,0.01,0.0032,0.01,100,0.2666666805744171,6.396085500717162,0
25,0.01,0.0032,0.01,500,0.5333333611488342,8.806204557418821,1
26,0.01,0.0032,0.01,2500,0.5333333611488342,18.898038864135746,1
27,0.01,0.0032,0.1,100,0.4666666686534882,6.802748203277588,0
28,0.01,0.0032,0.1,500,0.2666666805744171,8.375676870346071,0
29,0.01,0.0032,0.1,2500,0.5333333611488342,19.1083459854126,1
30,0.01,0.0032,1.0,100,0.4666666686534882,6.518511533737183,0
31,0.01,0.0032,1.0,500,0.2666666805744171,8.801918745040895,0
32,0.01,0.0032,1.0,2500,0.2666666805744171,19.31402611732483,0
33,0.01,0.0032,10.0,100,0.4666666686534882,6.5479254722595215,0
34,0.01,0.0032,10.0,500,0.2666666805744171,8.675966262817383,0
35,0.01,0.0032,10.0,2500,0.2666666805744171,19.291645288467407,0
36,0.01,0.0128,0.01,100,0.4000000059604645,6.98784065246582,0
37,0.01,0.0128,0.01,500,0.5333333611488342,8.335477352142334,1
38,0.01,0.0128,0.01,2500,0.8999999761581421,19.381208419799805,2
39,0.01,0.0128,0.1,100,0.5333333611488342,6.70331072807312,1
40,0.01,0.0128,0.1,500,0.5333333611488342,8.747485637664795,1
41,0.01,0.0128,0.1,2500,0.8999999761581421,19.223874568939213,2
42,0.01,0.0128,1.0,100,0.2666666805744171,6.779823303222656,0
43,0.01,0.0128,1.0,500,0.2666666805744171,8.637822866439821,0
44,0.01,0.0128,1.0,2500,0.2666666805744171,19.388262510299683,0
45,0.01,0.0128,10.0,100,0.2666666805744171,6.6733248233795175,0
46,0.01,0.0128,10.0,500,0.2666666805744171,8.623726367950441,0
47,0.01,0.0128,10.0,2500,0.2666666805744171,19.024264574050907,0
